id,label,cap,color,lat,lng,pop
"dsm","Dripping Springs","1250","#800000","30.2020486","-98.1151708","6th-8th"
"ssm","Sycamore Springs","850","#FFFF00","30.1787376","-98.0020132","6th-8th"

"wse","Walnut Springs","850","#008000","30.2020486","-98.1151708","EE-5th"
"dse","Dripping Springs","900","#800000","30.2158518","-98.0825343","EE-5th"
"roe","Rooster Springs","850","#800080","30.1920847","-97.9828326","EE-5th"
"sse","Sycamore Springs","850","#FFFF00","30.180898","-98.001506","EE-5th"
"cse","Cypress Springs",850,"#0260f7","30.153353","-98.008021","EE-5th"

"dshs","Dripping Springs","2000","#800000","30.1968713","-98.1009382","9th-12th"
