,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31
pu,EE-5th,EE-5th,EE-5th,EE-5th,EE-5th,EE-5th,EE-5th,EE-5th,EE-5th,EE-5th,EE-5th,6th-8th,6th-8th,6th-8th,6th-8th,6th-8th,6th-8th,6th-8th,6th-8th,6th-8th,6th-8th,6th-8th,9th-12th,9th-12th,9th-12th,9th-12th,9th-12th,9th-12th,9th-12th,9th-12th,9th-12th,9th-12th,9th-12th
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18,22,25,29,34,39,44,48,51,53,54,6,6,9,9,11,12,13,15,17,20,23,5,4,4,7,8,10,13,14,17,18,20
3,11,15,17,20,21,24,24,24,24,24,24,9,9,7,6,6,5,8,9,12,12,12,11,13,13,12,12,11,8,10,8,11,15
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,82,81,74,71,68,66,70,78,88,99,112,54,52,53,53,53,52,52,52,54,59,68,64,71,71,67,73,71,72,78,83,86,91
6,18,25,27,31,36,39,44,48,51,53,54,11,12,10,10,11,13,15,17,17,20,23,13,13,15,15,13,15,12,12,16,16,18
7,12,13,15,14,15,15,15,15,15,15,15,5,4,4,7,7,9,8,9,9,9,9,8,8,6,5,7,5,8,8,9,11,10
8,25,25,28,28,30,33,34,36,38,39,40,20,22,18,17,14,14,15,17,21,23,26,28,31,33,33,32,27,27,27,24,27,28
9,65,71,73,77,90,100,119,144,173,205,241,47,47,41,45,48,58,68,86,99,116,136,55,55,60,67,68,73,84,95,117,141,163
10,86,95,103,110,114,121,127,136,145,153,163,52,51,44,50,52,56,61,64,70,73,79,65,72,78,72,79,77,75,87,90,100,109
11,26,29,25,22,24,28,34,46,59,78,99,10,13,19,24,26,25,24,28,33,42,54,29,23,22,19,21,28,36,42,50,57,68
12,55,59,58,54,54,50,50,50,50,51,52,35,30,28,32,32,35,31,30,26,27,29,41,46,47,46,44,39,41,42,47,47,44
13,61,78,89,98,107,114,119,127,139,158,177,35,34,38,37,38,40,48,59,68,76,87,45,40,44,50,48,53,58,58,70,87,104
14,96,99,102,115,132,155,173,194,217,242,266,26,43,55,72,76,79,91,104,121,131,143,113,96,88,78,83,106,127,153,166,186,207
15,201,235,265,315,392,478,588,700,808,905,998,84,97,118,146,180,234,294,359,411,461,511,100,110,130,173,218,279,363,429,507,577,639
16,10,9,8,8,6,7,7,7,7,13,19,5,7,8,6,6,4,5,5,7,10,13,8,8,8,8,8,9,9,10,10,12,17
17,19,23,26,27,30,33,33,33,33,33,33,20,18,15,14,13,15,19,24,28,28,30,34,32,32,30,25,20,18,18,19,25,30
18,36,42,44,51,61,71,84,98,109,119,127,23,22,23,20,20,22,24,27,30,37,46,22,25,26,29,29,33,34,35,41,42,46
19,131,155,192,223,258,286,313,338,345,349,352,60,73,83,105,126,154,170,181,181,181,184,105,102,115,131,156,172,197,219,231,245,249
20A,142,159,170,174,181,183,184,187,190,194,197,65,66,68,77,79,89,95,102,105,106,109,102,107,100,86,89,83,91,99,108,123,131
20B,33,47,57,58,61,62,62,62,62,62,62,21,18,23,24,25,27,28,31,32,32,32,39,42,43,35,31,28,32,32,36,41,44
21,14,18,21,24,24,28,28,28,34,40,53,5,7,6,6,8,8,11,12,18,21,27,10,9,9,8,8,8,8,13,15,23,34
22,69,88,113,140,169,197,215,221,228,236,246,59,63,70,73,83,95,106,114,121,126,134,46,62,81,107,127,137,142,135,138,146,155
23,79,106,128,152,177,200,224,244,265,286,306,46,48,60,66,83,101,118,130,140,151,162,48,64,77,91,109,121,136,149,169,186,202
24,23,25,23,24,25,28,28,28,28,29,29,13,12,13,16,15,10,11,13,16,16,17,13,16,19,16,18,20,17,19,17,16,18
25,3,3,3,1,1,0,0,0,0,0,0,2,2,2,3,2,3,1,1,0,0,0,2,3,3,2,3,2,4,3,4,3,1
26,7,8,8,8,9,11,17,23,29,36,49,2,3,3,5,5,6,9,13,17,23,29,8,3,5,5,3,7,11,16,22,26,33
27,21,28,30,33,37,40,50,58,64,68,70,18,18,17,15,13,16,14,14,13,19,25,15,15,19,21,23,24,23,21,25,23,24
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,68,73,74,74,79,76,76,81,86,92,101,36,41,37,44,47,55,52,52,46,49,54,53,54,61,54,56,61,59,62,72,74,76
30,70,75,79,76,74,76,80,86,94,104,114,35,44,39,47,46,45,43,45,51,56,62,45,43,54,49,55,59,60,71,73,80,84
31,5,7,7,7,6,6,6,6,6,6,6,2,1,2,3,5,5,5,4,4,4,4,10,8,5,5,5,5,6,8,9,9,9
32,0,1,1,1,1,1,1,1,1,1,1,6,5,3,3,3,3,3,3,3,3,3,1,3,5,6,7,6,4,4,4,4,4
33,94,103,102,93,90,80,80,81,83,86,87,57,54,52,59,63,69,60,56,48,48,51,57,65,73,73,73,71,77,77,86,83,74
34A,9,8,9,10,10,13,19,25,33,41,53,5,8,5,5,3,5,7,9,12,18,24,10,9,11,7,9,8,9,14,17,23,30
34B,0,0,0,0,0,0,0,0,2,8,14,0,0,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,1,5,9
35,34,36,33,31,31,27,27,27,27,27,27,19,21,21,20,20,21,20,20,16,16,16,17,17,20,25,24,28,27,24,29,26,24
36,69,70,71,73,76,80,84,89,97,104,111,35,40,44,42,40,40,40,41,44,49,55,52,56,48,45,51,54,58,58,60,64,68
37A,646,688,677,664,645,629,628,641,654,671,684,302,300,326,342,364,365,362,348,336,338,353,359,381,382,388,401,426,451,483,517,514,514
37B,180,212,226,225,229,230,230,233,235,240,244,87,96,96,102,107,113,114,119,121,122,126,62,77,100,106,121,126,129,131,140,147,148
38,26,31,35,38,46,52,61,69,75,79,81,12,14,11,14,12,15,13,16,17,23,29,21,19,20,16,16,17,19,19,22,25,26
39,48,50,52,53,58,63,64,67,71,75,79,26,32,33,32,27,28,33,40,46,48,51,43,46,43,45,41,41,44,43,41,48,54
40,18,40,78,114,135,163,188,201,207,212,217,10,19,41,55,72,81,96,99,104,106,109,8,17,43,67,84,101,117,128,129,131,135
41,395,440,449,460,453,461,461,466,474,482,488,182,186,232,229,247,226,241,238,250,251,258,194,234,247,263,268,283,296,312,317,313,327
42A,8,15,21,19,19,19,19,19,19,19,19,7,9,10,11,11,11,9,9,9,9,9,4,10,16,16,15,14,14,13,13,13,11
42B,6,7,6,6,6,6,6,6,6,6,6,5,4,5,5,4,3,3,3,3,3,3,9,10,10,6,7,6,6,6,5,4,4
43A,14,15,16,17,21,27,33,39,45,52,64,11,12,11,13,13,16,18,22,26,30,36,17,18,19,15,18,21,23,27,29,35,43
43B,5,4,4,5,3,4,4,4,4,4,4,4,4,3,3,4,4,5,4,5,5,5,6,8,8,5,6,4,4,6,5,6,7
44,2,1,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,5,5,5,2,2,3,2,2,1,0,0
45,201,211,198,197,193,194,194,196,198,202,205,88,101,128,124,126,110,109,107,109,110,114,96,99,101,111,126,150,162,160,160,150,149
46,36,38,32,31,28,28,28,28,28,28,28,32,30,35,29,27,23,24,22,23,23,24,31,37,35,40,43,40,38,35,31,28,29
47,108,127,141,148,154,157,160,166,171,178,185,49,53,46,52,54,70,80,87,89,91,95,46,58,66,63,75,69,71,83,94,111,121
